epoch,train_loss,train_ad_loss,train_sc_loss,val_ad_accuracy,val_ad_f1,val_sc_accuracy,val_sc_f1,val_selection_metric
1,0.40375767951836217,0.3419836124769804,0.46553174616024895,0.6274617401377965,0.33460045921373177,0.8809306322275017,0.8374849648018831,0.5860427120078074
2,0.21898446586632217,0.2777969007437734,0.16017203127101423,0.7813547954393024,0.5087917684729891,0.9379610626396389,0.919902948351291,0.71434735841214
3,0.1645949492605538,0.21186183363039435,0.11732806432268135,0.8556795317358699,0.6541053852214168,0.9406829598580814,0.921351875669828,0.7877286304456224
4,0.13775594461579424,0.17763205150257166,0.09787983767221364,0.8816535577098957,0.6997478224911892,0.9399838038800914,0.9203884265256612,0.8100681245084251
5,0.12215598736048223,0.15651588605332312,0.08779608805154528,0.9051887080056094,0.7490411100751723,0.9404657204765152,0.9184611654063104,0.8337511377407414
6,0.11304374150032971,0.14202930331829405,0.08405817975789488,0.9180537772087068,0.7850617143302426,0.9411336843646148,0.9199952810546229,0.8525284976924328
7,0.10420054857476786,0.13116121655654653,0.07723988050778444,0.9207975123468082,0.7867204854391275,0.9410441848561995,0.9200371821857021,0.8533788338124149
8,0.0994784804685266,0.12316138581959556,0.07579557493237914,0.9350039631729772,0.8225505479307091,0.9422955598507146,0.9211577938960417,0.8718541709133754
9,0.091558744406812,0.1152819155667966,0.06783557326336898,0.9356746539845133,0.8354114392433097,0.9459212248731094,0.9246629830294207,0.8800372111363652
10,0.08749531340802802,0.11047270881067013,0.06451791814302442,0.938235473446741,0.833577472014084,0.9461236397596062,0.9263389179263782,0.8799581949702311
11,0.0855716521110156,0.10885515964862169,0.062288144675780074,0.9386013047984878,0.8359016187905212,0.9444667678961107,0.9251454573217079,0.8805235380561145
12,0.08512304504539309,0.10799065566853927,0.06225543405614723,0.9386622766904456,0.8364246493268733,0.9436026270888724,0.9243844719128689,0.8804045606198712
